Indicator 58 Monthly total of fuel used by vehicles at Australian Antarctic Stations,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
Jun-00,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Jun-00,-68.57661111,77.96738889,Davis,Fuel usage,638,,litres
Jun-00,-66.28180556,110.5276111,Casey,Fuel usage,683,,litres
Jun-00,-54.61988889,158.861,Macquarie Island,Fuel usage,170,,litres
Jul-00,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres
Jul-00,-68.57661111,77.96738889,Davis,Fuel usage,209,,litres
Jul-00,-66.28180556,110.5276111,Casey,Fuel usage,1079,,litres
Jul-00,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres
Aug-00,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Aug-00,-68.57661111,77.96738889,Davis,Fuel usage,89,,litres
Aug-00,-66.28180556,110.5276111,Casey,Fuel usage,781,,litres
Aug-00,-54.61988889,158.861,Macquarie Island,Fuel usage,182,,litres
Sep-00,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Sep-00,-68.57661111,77.96738889,Davis,Fuel usage,1491,,litres
Sep-00,-66.28180556,110.5276111,Casey,Fuel usage,1188,,litres
Sep-00,-54.61988889,158.861,Macquarie Island,Fuel usage,173,,litres
Oct-00,-67.60269444,62.87380556,Mawson,Fuel usage,50,,litres
Oct-00,-68.57661111,77.96738889,Davis,Fuel usage,3336,,litres
Oct-00,-66.28180556,110.5276111,Casey,Fuel usage,1279,,litres
Oct-00,-54.61988889,158.861,Macquarie Island,Fuel usage,162,,litres
Nov-00,-67.60269444,62.87380556,Mawson,Fuel usage,1350,,litres
Nov-00,-68.57661111,77.96738889,Davis,Fuel usage,1452,,litres
Nov-00,-66.28180556,110.5276111,Casey,Fuel usage,2430,,litres
Nov-00,-54.61988889,158.861,Macquarie Island,Fuel usage,517,,litres
Dec-00,-67.60269444,62.87380556,Mawson,Fuel usage,4500,,litres
Dec-00,-68.57661111,77.96738889,Davis,Fuel usage,508,,litres
Dec-00,-66.28180556,110.5276111,Casey,Fuel usage,4846,,litres
Dec-00,-54.61988889,158.861,Macquarie Island,Fuel usage,294,,litres
Jan-01,-67.60269444,62.87380556,Mawson,Fuel usage,1850,,litres
Jan-01,-68.57661111,77.96738889,Davis,Fuel usage,1480,,litres
Jan-01,-66.28180556,110.5276111,Casey,Fuel usage,5283,,litres
Jan-01,-54.61988889,158.861,Macquarie Island,Fuel usage,243,,litres
Feb-01,-67.60269444,62.87380556,Mawson,Fuel usage,2250,,litres
Feb-01,-68.57661111,77.96738889,Davis,Fuel usage,790,,litres
Feb-01,-66.28180556,110.5276111,Casey,Fuel usage,4326,,litres
Feb-01,-54.61988889,158.861,Macquarie Island,Fuel usage,270,,litres
Mar-01,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Mar-01,-68.57661111,77.96738889,Davis,Fuel usage,630,,litres
Mar-01,-66.28180556,110.5276111,Casey,Fuel usage,2941,,litres
Mar-01,-54.61988889,158.861,Macquarie Island,Fuel usage,325,,litres
Apr-01,-67.60269444,62.87380556,Mawson,Fuel usage,250,,litres
Apr-01,-68.57661111,77.96738889,Davis,Fuel usage,600,,litres
Apr-01,-66.28180556,110.5276111,Casey,Fuel usage,934,,litres
Apr-01,-54.61988889,158.861,Macquarie Island,Fuel usage,160,,litres
May-01,-67.60269444,62.87380556,Mawson,Fuel usage,0,,litres
May-01,-68.57661111,77.96738889,Davis,Fuel usage,,,litres
May-01,-66.28180556,110.5276111,Casey,Fuel usage,450,,litres
May-01,-54.61988889,158.861,Macquarie Island,Fuel usage,105,,litres
Jun-01,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres
Jun-01,-68.57661111,77.96738889,Davis,Fuel usage,150,,litres
Jun-01,-66.28180556,110.5276111,Casey,Fuel usage,520,,litres
Jun-01,-54.61988889,158.861,Macquarie Island,Fuel usage,20,,litres
Jul-01,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres
Jul-01,-68.57661111,77.96738889,Davis,Fuel usage,34,,litres
Jul-01,-66.28180556,110.5276111,Casey,Fuel usage,692,,litres
Jul-01,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres
Aug-01,-67.60269444,62.87380556,Mawson,Fuel usage,0,,litres
Aug-01,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres
Aug-01,-66.28180556,110.5276111,Casey,Fuel usage,466,,litres
Aug-01,-54.61988889,158.861,Macquarie Island,Fuel usage,96,,litres
Sep-01,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Sep-01,-68.57661111,77.96738889,Davis,Fuel usage,180,,litres
Sep-01,-66.28180556,110.5276111,Casey,Fuel usage,617,,litres
Sep-01,-54.61988889,158.861,Macquarie Island,Fuel usage,142,,litres
Oct-01,-67.60269444,62.87380556,Mawson,Fuel usage,760,,litres
Oct-01,-68.57661111,77.96738889,Davis,Fuel usage,690,,litres
Oct-01,-66.28180556,110.5276111,Casey,Fuel usage,2880,,litres
Oct-01,-54.61988889,158.861,Macquarie Island,Fuel usage,156,,litres
Nov-01,-67.60269444,62.87380556,Mawson,Fuel usage,340,,litres
Nov-01,-68.57661111,77.96738889,Davis,Fuel usage,990,,litres
Nov-01,-66.28180556,110.5276111,Casey,Fuel usage,4286,,litres
