Date,Parameter,Value,Unit of measure
Mar-02,Fuel usage,44609.0,litres
Mar-02,Fuel usage,44817.0,litres
Mar-02,Fuel usage,16465.0,litres
Apr-02,Fuel usage,50658.0,litres
Apr-02,Fuel usage,47112.0,litres
Apr-02,Fuel usage,48255.0,litres
Apr-02,Fuel usage,15919.0,litres
May-02,Fuel usage,54016.0,litres
May-02,Fuel usage,47725.0,litres
May-02,Fuel usage,52538.0,litres
May-02,Fuel usage,17594.0,litres
Jun-02,Fuel usage,56689.0,litres
Jun-02,Fuel usage,49091.0,litres
Jun-02,Fuel usage,44296.0,litres
Jun-02,Fuel usage,17391.0,litres
Jul-02,Fuel usage,56077.0,litres
Jul-02,Fuel usage,51434.0,litres
Jul-02,Fuel usage,48053.0,litres
Jul-02,Fuel usage,17272.0,litres
Aug-02,Fuel usage,55538.0,litres
Aug-02,Fuel usage,53892.0,litres
Aug-02,Fuel usage,49282.0,litres
Aug-02,Fuel usage,17708.0,litres
Sep-02,Fuel usage,50089.0,litres
Sep-02,Fuel usage,50101.0,litres
Sep-02,Fuel usage,47137.0,litres
Sep-02,Fuel usage,17087.0,litres
Oct-02,Fuel usage,52785.0,litres
Oct-02,Fuel usage,54437.0,litres
Oct-02,Fuel usage,46110.0,litres
Oct-02,Fuel usage,15523.0,litres
Nov-02,Fuel usage,45700.0,litres
Nov-02,Fuel usage,47043.0,litres
Nov-02,Fuel usage,44427.0,litres
Nov-02,Fuel usage,14589.0,litres
Dec-02,Fuel usage,40148.0,litres
Dec-02,Fuel usage,47023.0,litres
Dec-02,Fuel usage,39135.0,litres
Dec-02,Fuel usage,14883.0,litres
Jan-03,Fuel usage,35652.0,litres
Jan-03,Fuel usage,47015.0,litres
Jan-03,Fuel usage,38506.0,litres
Jan-03,Fuel usage,14744.0,litres
Feb-03,Fuel usage,29850.0,litres
Feb-03,Fuel usage,42885.0,litres
Feb-03,Fuel usage,31943.0,litres
Feb-03,Fuel usage,13913.0,litres
May-04,Fuel usage,36841.0,litres
May-04,Fuel usage,49806.0,litres
May-04,Fuel usage,47574.0,litres
May-04,Fuel usage,17126.0,litres
Jun-04,Fuel usage,48628.0,litres
Jun-04,Fuel usage,52924.0,litres
Jun-04,Fuel usage,46767.0,litres
Jun-04,Fuel usage,16863.0,litres
Jul-04,Fuel usage,45693.0,litres
Jul-04,Fuel usage,56290.0,litres
Jul-04,Fuel usage,53436.0,litres
Jul-04,Fuel usage,17800.0,litres
Aug-04,Fuel usage,34251.0,litres
Aug-04,Fuel usage,51725.0,litres
Aug-04,Fuel usage,48797.0,litres
Sep-04,Fuel usage,34683.0,litres
Sep-04,Fuel usage,51364.0,litres
Sep-04,Fuel usage,46556.0,litres
Oct-04,Fuel usage,32596.0,litres
Oct-04,Fuel usage,49304.0,litres
Oct-04,Fuel usage,44084.0,litres
Oct-04,Fuel usage,16868.0,litres
Nov-04,Fuel usage,28652.0,litres
Nov-04,Fuel usage,44422.0,litres
Nov-04,Fuel usage,43086.0,litres
Nov-04,Fuel usage,14727.0,litres
Dec-04,Fuel usage,25344.0,litres
Dec-04,Fuel usage,43484.0,litres
Dec-04,Fuel usage,36530.0,litres
Dec-04,Fuel usage,14699.0,litres
Jan-05,Fuel usage,30882.0,litres
Jan-05,Fuel usage,38636.0,litres
Jan-05,Fuel usage,37615.0,litres
Jan-05,Fuel usage,14148.0,litres
Feb-05,Fuel usage,28616.0,litres
Feb-05,Fuel usage,45692.0,litres
Feb-05,Fuel usage,32726.0,litres
Feb-05,Fuel usage,11533.0,litres
Mar-05,Fuel usage,30238.0,litres
Mar-05,Fuel usage,53465.0,litres
Mar-05,Fuel usage,42088.0,litres
Mar-05,Fuel usage,14953.0,litres
Apr-05,Fuel usage,38349.0,litres
Apr-05,Fuel usage,57044.0,litres
Apr-05,Fuel usage,41673.0,litres
Apr-05,Fuel usage,16680.0,litres
May-05,Fuel usage,51229.0,litres
May-05,Fuel usage,50525.0,litres
May-05,Fuel usage,46955.0,litres
May-05,Fuel usage,17501.0,litres
Jun-05,Fuel usage,33661.0,litres
Jun-05,Fuel usage,48361.0,litres
Jun-05,Fuel usage,44305.0,litres
Jun-05,Fuel usage,16037.0,litres
Jul-05,Fuel usage,50726.0,litres
Jul-05,Fuel usage,54495.0,litres
Jul-05,Fuel usage,49852.0,litres
Jul-05,Fuel usage,16197.0,litres
Aug-05,Fuel usage,44143.0,litres
Aug-05,Fuel usage,61123.0,litres
Aug-05,Fuel usage,47918.0,litres
Aug-05,Fuel usage,15778.0,litres
Sep-05,Fuel usage,38300.0,litres
Sep-05,Fuel usage,57610.0,litres
Sep-05,Fuel usage,43386.0,litres
Sep-05,Fuel usage,15750.0,litres
Oct-05,Fuel usage,35050.0,litres
Oct-05,Fuel usage,54171.0,litres
Oct-05,Fuel usage,42404.0,litres
Oct-05,Fuel usage,14415.0,litres
Nov-05,Fuel usage,24680.0,litres
Nov-05,Fuel usage,49759.0,litres
Nov-05,Fuel usage,39653.0,litres
Nov-05,Fuel usage,12849.0,litres
Dec-05,Fuel usage,28472.0,litres
Dec-05,Fuel usage,43324.0,litres
Dec-05,Fuel usage,36159.0,litres
Dec-05,Fuel usage,12122.0,litres
Jan-06,Fuel usage,34356.0,litres
Jan-06,Fuel usage,43143.0,litres
Jan-06,Fuel usage,37655.0,litres
Jan-06,Fuel usage,12867.0,litres
Feb-06,Fuel usage,24641.0,litres
Feb-06,Fuel usage,46741.0,litres
Feb-06,Fuel usage,41992.0,litres
Feb-06,Fuel usage,12696.0,litres
Mar-06,Fuel usage,30904.0,litres
Mar-06,Fuel usage,50535.0,litres
Mar-06,Fuel usage,44101.0,litres
Mar-06,Fuel usage,14644.0,litres
Apr-06,Fuel usage,21235.0,litres
Apr-06,Fuel usage,45702.0,litres
Apr-06,Fuel usage,12797.0,litres
May-06,Fuel usage,45658.0,litres
May-06,Fuel usage,60030.0,litres
May-06,Fuel usage,51270.0,litres
May-06,Fuel usage,15341.0,litres
Jun-06,Fuel usage,31052.0,litres
