??,??,??,??,??????,????????,????
08-03-2019 22.00,191,-1.361,0.003,0,0,0
08-03-2019 23.00,192,-1.809,0.003,0,0,0
09-03-2019 0.00,193,-2.22,0.003,0,0,0
09-03-2019 1.00,194,-2.477,0.002,0,0,0
09-03-2019 2.00,195,-3.073,0.002,0,0,0
09-03-2019 3.00,196,-3.531,0.002,0,0,0
09-03-2019 4.00,197,-4.038,0.002,0,0,0
09-03-2019 5.00,198,-4.263,0.002,1.422,8.353,0
09-03-2019 6.00,199,-4.386,0.002,61.571,157.593,532.374
09-03-2019 7.00,200,-3.684,0.002,210.206,378.592,2431.643
09-03-2019 8.00,201,-2.571,0.002,369.281,568.416,3586.197
09-03-2019 9.00,202,-1.527,0.002,506.378,713.563,3849.216
09-03-2019 10.00,203,-0.492,0.002,594.108,804.114,4007.064
09-03-2019 11.00,204,0.425,0.002,628.431,833.965,4011.312
09-03-2019 12.00,205,1.06,0.002,611.064,801.067,4062.867
09-03-2019 13.00,206,1.369,0.002,535.772,707.718,4049.905
09-03-2019 14.00,207,1.117,0.002,409.748,560.259,3676.181
09-03-2019 15.00,208,0.249,0.002,250.229,368.783,2952.456
09-03-2019 16.00,209,-1.487,0.002,83.791,147.113,1379.042
09-03-2019 17.00,210,-4.359,0.002,1.901,5.159,0
09-03-2019 18.00,211,-5.884,0.002,0,0,0
09-03-2019 19.00,212,-6.977,0.002,0,0,0
09-03-2019 20.00,213,-7.956,0.002,0,0,0
09-03-2019 21.00,214,-8.792,0.002,0,0,0
09-03-2019 22.00,215,-9.428,0.002,0,0,0
09-03-2019 23.00,216,-9.772,0.002,0,0,0
10-03-2019 0.00,217,-10.071,0.002,0,0,0
10-03-2019 1.00,218,-10.282,0.002,0,0,0
10-03-2019 2.00,219,-10.438,0.002,0,0,0
10-03-2019 3.00,220,-10.708,0.002,0,0,0
10-03-2019 4.00,221,-11.206,0.002,0,0,0
10-03-2019 5.00,222,-11.727,0.002,3.839,9.713,43.04
10-03-2019 6.00,223,-9.81,0.002,95.532,164.384,2914.191
10-03-2019 7.00,224,-5.816,0.002,267.443,385.584,3873.675
10-03-2019 8.00,225,-2.348,0.002,431.834,575.412,4155.178
10-03-2019 9.00,226,0.187,0.002,560.963,720.545,4303.499
10-03-2019 10.00,227,1.959,0.002,640.643,811.118,4317.934
10-03-2019 11.00,228,3.168,0.002,661.53,840.963,4155.816
10-03-2019 12.00,229,3.885,0.002,622.287,808.073,4094.787
10-03-2019 13.00,230,4.094,0.002,526.789,714.715,3876.93
10-03-2019 14.00,231,3.804,0.002,385.33,567.253,3471.193
10-03-2019 15.00,232,2.809,0.002,219.14,375.778,2628.388
10-03-2019 16.00,233,-0.178,0.002,65.841,153.898,797.339
10-03-2019 17.00,234,-1.629,0.002,1.554,6.341,0
10-03-2019 18.00,235,-1.811,0.002,0,0,0
10-03-2019 19.00,236,-1.888,0.002,0,0,0
10-03-2019 20.00,237,-1.91,0.002,0,0,0
10-03-2019 21.00,238,-2.027,0.002,0,0,0
10-03-2019 22.00,239,-2.106,0.002,0,0,0
10-03-2019 23.00,240,-2.21,0.002,0,0,0
11-03-2019 0.00,241,-2.314,0.002,0,0,0
11-03-2019 1.00,242,-2.485,0.002,0,0,0
11-03-2019 2.00,243,-2.709,0.002,0,0,0
11-03-2019 3.00,244,-3.016,0.002,0,0,0
11-03-2019 4.00,245,-3.353,0.002,0,0,0
11-03-2019 5.00,246,-3.88,0.002,1.563,11.229,0
11-03-2019 6.00,247,-4.029,0.002,35.806,171.222,76.041
11-03-2019 7.00,248,-3.08,0.002,111.714,392.563,255.591
11-03-2019 8.00,249,-1.734,0.002,195.26,582.394,441.52
11-03-2019 9.00,250,-0.49,0.002,265.244,727.527,638.099
11-03-2019 10.00,251,0.074,0.002,310.892,818.097,780.513
11-03-2019 11.00,252,0.273,0.002,326.039,847.929,1053.958
11-03-2019 12.00,253,0.344,0.002,321.507,815.034,710.849
11-03-2019 13.00,254,0.312,0.002,281.168,721.668,532.706
11-03-2019 14.00,255,0.199,0.002,214.02,574.228,379.102
11-03-2019 15.00,256,-0.078,0.003,131.903,382.752,242.858
11-03-2019 16.00,257,-1.151,0.003,46.438,160.723,70.497
11-03-2019 17.00,258,-2.404,0.002,1.515,7.685,0
11-03-2019 18.00,259,-2.939,0.002,0,0,0
11-03-2019 19.00,260,-3.476,0.002,0,0,0
11-03-2019 20.00,261,-3.814,0.002,0,0,0
11-03-2019 21.00,262,-3.926,0.002,0,0,0
11-03-2019 22.00,263,-3.807,0.002,0,0,0
11-03-2019 23.00,264,-3.822,0.002,0,0,0
12-03-2019 0.00,265,-3.871,0.002,0,0,0
12-03-2019 1.00,266,-3.977,0.002,0,0,0
12-03-2019 2.00,267,-4.294,0.002,0,0,0
12-03-2019 3.00,268,-4.718,0.002,0,0,0
12-03-2019 4.00,269,-5.083,0.002,0,0,0
12-03-2019 5.00,270,-5.139,0.002,2.73,12.907,0
12-03-2019 6.00,271,-5.547,0.002,53.733,178.103,8.865
12-03-2019 7.00,272,-5.13,0.002,153.448,399.531,58.451
12-03-2019 8.00,273,-4.599,0.002,241.159,589.348,144.548
12-03-2019 9.00,274,-4.066,0.002,301.384,734.48,260.647
12-03-2019 10.00,275,-3.72,0.002,333.51,825.028,403.475
12-03-2019 11.00,276,-3.644,0.002,328.833,854.867,720.411
12-03-2019 12.00,277,-3.858,0.002,300.309,821.976,512.742
12-03-2019 13.00,278,-4.192,0.002,242.403,728.617,410.366
12-03-2019 14.00,279,-4.613,0.002,172.294,581.18,279.676
12-03-2019 15.00,280,-5.085,0.002,98.972,389.721,163.028
12-03-2019 16.00,281,-5.677,0.002,33.474,167.581,35.272
