??,??,????,??,????
11-06-2019 5.00,246,1.141,3.059,94.938
11-06-2019 6.00,247,1.141,2.838,65.307
11-06-2019 7.00,248,1.141,3.32,138.509
11-06-2019 8.00,249,1.143,3.487,173.132
11-06-2019 9.00,250,1.145,3.586,192.447
11-06-2019 10.00,251,1.148,3.613,199.098
11-06-2019 11.00,252,1.152,3.483,172.186
11-06-2019 12.00,253,1.155,3.079,97.895
11-06-2019 13.00,254,1.159,2.571,38.889
11-06-2019 14.00,255,1.162,1.964,7.064
11-06-2019 15.00,256,1.164,1.223,0.18
11-06-2019 16.00,257,1.166,0.591,0
11-06-2019 17.00,258,1.168,0.695,0
11-06-2019 18.00,259,1.17,1.35,0.41
11-06-2019 19.00,260,1.171,1.681,2.26
11-06-2019 20.00,261,1.172,1.414,0.604
11-06-2019 21.00,262,1.171,1.276,0.258
11-06-2019 22.00,263,1.166,1.397,0.558
11-06-2019 23.00,264,1.159,1.596,1.527
12-06-2019 0.00,265,1.152,2.016,8.328
12-06-2019 1.00,266,1.147,2.251,17.17
12-06-2019 2.00,267,1.142,2.195,14.761
12-06-2019 3.00,268,1.139,2.084,10.673
12-06-2019 4.00,269,1.136,2.315,20.911
12-06-2019 5.00,270,1.134,1.803,3.897
12-06-2019 6.00,271,1.133,1.494,0.915
12-06-2019 7.00,272,1.132,1.104,0.074
12-06-2019 8.00,273,1.132,1.466,0.791
12-06-2019 9.00,274,1.134,1.451,0.728
12-06-2019 10.00,275,1.136,1.317,0.337
12-06-2019 11.00,276,1.14,1.377,0.496
12-06-2019 12.00,277,1.144,2.119,11.621
12-06-2019 13.00,278,1.149,3.198,118.275
12-06-2019 14.00,279,1.152,3.739,227.643
12-06-2019 15.00,280,1.154,3.72,225.109
12-06-2019 16.00,281,1.155,3.849,254.666
12-06-2019 17.00,282,1.156,4.032,305.323
12-06-2019 18.00,283,1.157,4.763,540.357
12-06-2019 19.00,284,1.157,6.815,1584.522
12-06-2019 20.00,285,1.158,8.949,3018.232
12-06-2019 21.00,286,1.157,8.949,3018.155
12-06-2019 22.00,287,1.155,8.447,2687.872
12-06-2019 23.00,288,1.15,8.526,2742.794
13-06-2019 0.00,289,1.145,8.537,2748.63
13-06-2019 1.00,290,1.141,8.428,2674.322
13-06-2019 2.00,291,1.139,8.638,2814.253
13-06-2019 3.00,292,1.136,8.434,2679.635
13-06-2019 4.00,293,1.134,7.8,2241.75
13-06-2019 5.00,294,1.134,6.978,1688.979
13-06-2019 6.00,295,1.134,6.518,1401.266
13-06-2019 7.00,296,1.136,6.612,1459.207
13-06-2019 8.00,297,1.138,7.027,1720.786
13-06-2019 9.00,298,1.141,7.146,1805.326
13-06-2019 10.00,299,1.145,6.806,1578.965
13-06-2019 11.00,300,1.149,7.542,2065.4
13-06-2019 12.00,301,1.153,6.496,1390.014
13-06-2019 13.00,302,1.157,6.131,1176.693
