Indicator 57 Monthly incinerator fuel usage of Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Feb-00,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Feb-00,-68.57661111,77.96738889,Davis,Fuel usage,2000,,litres,,
Feb-00,-66.28180556,110.5276111,Casey,Fuel usage,1450,,litres,,
Feb-00,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Mar-00,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Mar-00,-68.57661111,77.96738889,Davis,Fuel usage,2200,,litres,,
Mar-00,-66.28180556,110.5276111,Casey,Fuel usage,600,,litres,,
Mar-00,-54.61988889,158.861,Macquarie Island,Fuel usage,805,,litres,,
Apr-00,-67.60269444,62.87380556,Mawson,Fuel usage,1300,,litres,,
Apr-00,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
Apr-00,-66.28180556,110.5276111,Casey,Fuel usage,430,,litres,,
Apr-00,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
May-00,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
May-00,-68.57661111,77.96738889,Davis,Fuel usage,850,,litres,,
May-00,-66.28180556,110.5276111,Casey,Fuel usage,224,,litres,,
May-00,-54.61988889,158.861,Macquarie Island,Fuel usage,908,,litres,,
Jun-00,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Jun-00,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
Jun-00,-66.28180556,110.5276111,Casey,Fuel usage,550,,litres,,
Jun-00,-54.61988889,158.861,Macquarie Island,Fuel usage,1018,,litres,,
Jul-00,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Jul-00,-68.57661111,77.96738889,Davis,Fuel usage,850,,litres,,
Jul-00,-66.28180556,110.5276111,Casey,Fuel usage,300,,litres,,
Jul-00,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Aug-00,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Aug-00,-68.57661111,77.96738889,Davis,Fuel usage,950,,litres,,
Aug-00,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Aug-00,-54.61988889,158.861,Macquarie Island,Fuel usage,862,,litres,,
Sep-00,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Sep-00,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Sep-00,-66.28180556,110.5276111,Casey,Fuel usage,300,,litres,,
Sep-00,-54.61988889,158.861,Macquarie Island,Fuel usage,1068,,litres,,
Oct-00,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres,,
Oct-00,-68.57661111,77.96738889,Davis,Fuel usage,1950,,litres,,
Oct-00,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
Oct-00,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Nov-00,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Nov-00,-68.57661111,77.96738889,Davis,Fuel usage,2500,,litres,,
Nov-00,-66.28180556,110.5276111,Casey,Fuel usage,800,,litres,,
Nov-00,-54.61988889,158.861,Macquarie Island,Fuel usage,1817,,litres,,
Dec-00,-67.60269444,62.87380556,Mawson,Fuel usage,2000,,litres,,
Dec-00,-68.57661111,77.96738889,Davis,Fuel usage,2350,,litres,,
Dec-00,-66.28180556,110.5276111,Casey,Fuel usage,1100,,litres,,
Dec-00,-54.61988889,158.861,Macquarie Island,Fuel usage,810,,litres,,
Jan-01,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Jan-01,-68.57661111,77.96738889,Davis,Fuel usage,1500,,litres,,
Jan-01,-66.28180556,110.5276111,Casey,Fuel usage,1227,,litres,,
Jan-01,-54.61988889,158.861,Macquarie Island,Fuel usage,1460,,litres,,
Feb-01,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Feb-01,-68.57661111,77.96738889,Davis,Fuel usage,2310,,litres,,
Feb-01,-66.28180556,110.5276111,Casey,Fuel usage,2200,,litres,,
Feb-01,-54.61988889,158.861,Macquarie Island,Fuel usage,1390,,litres,,
Mar-01,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Mar-01,-68.57661111,77.96738889,Davis,Fuel usage,1500,,litres,,
Mar-01,-66.28180556,110.5276111,Casey,Fuel usage,1000,,litres,,
Mar-01,-54.61988889,158.861,Macquarie Island,Fuel usage,240,,litres,,
Apr-01,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Apr-01,-68.57661111,77.96738889,Davis,Fuel usage,700,,litres,,
Apr-01,-66.28180556,110.5276111,Casey,Fuel usage,480,,litres,,
Apr-01,-54.61988889,158.861,Macquarie Island,Fuel usage,1540,,litres,,
May-01,-67.60269444,62.87380556,Mawson,Fuel usage,750,,litres,,
May-01,-68.57661111,77.96738889,Davis,Fuel usage,700,,litres,,
May-01,-66.28180556,110.5276111,Casey,Fuel usage,300,,litres,,
May-01,-54.61988889,158.861,Macquarie Island,Fuel usage,720,,litres,,
Jun-01,-67.60269444,62.87380556,Mawson,Fuel usage,850,,litres,,
Jun-01,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Jun-01,-66.28180556,110.5276111,Casey,Fuel usage,210,,litres,,
Jun-01,-54.61988889,158.861,Macquarie Island,Fuel usage,400,,litres,,
Jul-01,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Jul-01,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres,,
Jul-01,-66.28180556,110.5276111,Casey,Fuel usage,1400,,litres,,
Jul-01,-54.61988889,158.861,Macquarie Island,Fuel usage,780,,litres,,
Aug-01,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Aug-01,-68.57661111,77.96738889,Davis,Fuel usage,950,,litres,,
Aug-01,-66.28180556,110.5276111,Casey,Fuel usage,600,,litres,,
Aug-01,-54.61988889,158.861,Macquarie Island,Fuel usage,670,,litres,,
Sep-01,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Sep-01,-68.57661111,77.96738889,Davis,Fuel usage,1240,,litres,,
Sep-01,-66.28180556,110.5276111,Casey,Fuel usage,900,,litres,,
Sep-01,-54.61988889,158.861,Macquarie Island,Fuel usage,570,,litres,,
Oct-01,-67.60269444,62.87380556,Mawson,Fuel usage,1000,,litres,,
Oct-01,-68.57661111,77.96738889,Davis,Fuel usage,870,,litres,,
Oct-01,-66.28180556,110.5276111,Casey,Fuel usage,1000,,litres,,
Oct-01,-54.61988889,158.861,Macquarie Island,Fuel usage,960,,litres,,
Nov-01,-67.60269444,62.87380556,Mawson,Fuel usage,425,,litres,,
Nov-01,-68.57661111,77.96738889,Davis,Fuel usage,1250,,litres,,
Nov-01,-66.28180556,110.5276111,Casey,Fuel usage,1100,,litres,,
Nov-01,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Dec-01,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Dec-01,-68.57661111,77.96738889,Davis,Fuel usage,1650,,litres,,
Dec-01,-66.28180556,110.5276111,Casey,Fuel usage,1000,,litres,,
Dec-01,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Jan-02,-67.60269444,62.87380556,Mawson,Fuel usage,1550,,litres,,
Jan-02,-68.57661111,77.96738889,Davis,Fuel usage,4500,,litres,,
Jan-02,-66.28180556,110.5276111,Casey,Fuel usage,1250,,litres,,
Jan-02,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Feb-02,-67.60269444,62.87380556,Mawson,Fuel usage,1250,,litres,,
