Date,Parameter,Value,Unit of measure
Jan-99,Fuel usage,,litres
Feb-99,Fuel usage,450.0,litres
Feb-99,Fuel usage,1300.0,litres
Feb-99,Fuel usage,700.0,litres
Feb-99,Fuel usage,920.0,litres
Mar-03,Fuel usage,900.0,litres
Mar-03,Fuel usage,1600.0,litres
Mar-03,Fuel usage,700.0,litres
Mar-03,Fuel usage,1284.0,litres
Apr-03,Fuel usage,300.0,litres
Apr-03,Fuel usage,800.0,litres
Apr-03,Fuel usage,1600.0,litres
Apr-03,Fuel usage,1779.0,litres
May-03,Fuel usage,900.0,litres
May-03,Fuel usage,1300.0,litres
May-03,Fuel usage,0.0,litres
Jun-03,Fuel usage,300.0,litres
Jun-03,Fuel usage,1000.0,litres
Jun-03,Fuel usage,500.0,litres
Jun-03,Fuel usage,700.0,litres
Jul-03,Fuel usage,1100.0,litres
Jul-03,Fuel usage,1000.0,litres
Jul-03,Fuel usage,100.0,litres
Jul-03,Fuel usage,770.0,litres
Aug-03,Fuel usage,300.0,litres
Aug-03,Fuel usage,1100.0,litres
Aug-03,Fuel usage,500.0,litres
Aug-03,Fuel usage,0.0,litres
Sep-03,Fuel usage,400.0,litres
Sep-03,Fuel usage,1400.0,litres
Sep-03,Fuel usage,300.0,litres
Sep-03,Fuel usage,640.0,litres
Oct-03,Fuel usage,2150.0,litres
Oct-03,Fuel usage,1200.0,litres
Oct-03,Fuel usage,1100.0,litres
Oct-03,Fuel usage,0.0,litres
Nov-03,Fuel usage,950.0,litres
Nov-03,Fuel usage,1650.0,litres
Nov-03,Fuel usage,700.0,litres
Nov-03,Fuel usage,1044.0,litres
Dec-03,Fuel usage,1220.0,litres
Dec-03,Fuel usage,2750.0,litres
Dec-03,Fuel usage,400.0,litres
Dec-03,Fuel usage,774.0,litres
Jan-04,Fuel usage,800.0,litres
Jan-04,Fuel usage,2800.0,litres
Jan-04,Fuel usage,1400.0,litres
Jan-04,Fuel usage,1857.0,litres
Feb-04,Fuel usage,350.0,litres
Feb-04,Fuel usage,1900.0,litres
Feb-04,Fuel usage,1150.0,litres
Feb-04,Fuel usage,980.0,litres
Mar-04,Fuel usage,650.0,litres
Mar-04,Fuel usage,1100.0,litres
Mar-04,Fuel usage,1250.0,litres
Mar-04,Fuel usage,1405.0,litres
Apr-04,Fuel usage,400.0,litres
Apr-04,Fuel usage,800.0,litres
Apr-04,Fuel usage,250.0,litres
Dec-12,Fuel usage,200.0,litres
Dec-12,Fuel usage,600.0,litres
Dec-12,Fuel usage,650.0,litres
Jan-13,Fuel usage,300.0,litres
Jan-13,Fuel usage,1300.0,litres
Jan-13,Fuel usage,900.0,litres
Jan-13,Fuel usage,1450.0,litres
Feb-13,Fuel usage,1200.0,litres
Feb-13,Fuel usage,2800.0,litres
Feb-13,Fuel usage,1000.0,litres
Feb-13,Fuel usage,775.0,litres
Sep-14,Fuel usage,400.0,litres
Sep-14,Fuel usage,500.0,litres
Sep-14,Fuel usage,150.0,litres
Sep-14,Fuel usage,750.0,litres
Oct-14,Fuel usage,750.0,litres
Oct-14,Fuel usage,400.0,litres
Oct-14,Fuel usage,200.0,litres
Oct-14,Fuel usage,550.0,litres
Nov-14,Fuel usage,950.0,litres
Nov-14,Fuel usage,650.0,litres
Nov-14,Fuel usage,550.0,litres
Nov-14,Fuel usage,800.0,litres
Dec-14,Fuel usage,1050.0,litres
Dec-14,Fuel usage,650.0,litres
Dec-14,Fuel usage,1000.0,litres
Dec-14,Fuel usage,525.0,litres
Jan-15,Fuel usage,300.0,litres
Jan-15,Fuel usage,550.0,litres
Jan-15,Fuel usage,500.0,litres
Jan-15,Fuel usage,1051.0,litres
Feb-15,Fuel usage,800.0,litres
Feb-15,Fuel usage,550.0,litres
Feb-15,Fuel usage,1500.0,litres
Feb-15,Fuel usage,1050.0,litres
Mar-15,Fuel usage,550.0,litres
Mar-15,Fuel usage,200.0,litres
Apr-15,Fuel usage,1450.0,litres
Apr-15,Fuel usage,550.0,litres
Apr-15,Fuel usage,300.0,litres
Apr-15,Fuel usage,1470.0,litres
May-15,Fuel usage,450.0,litres
May-15,Fuel usage,550.0,litres
May-15,Fuel usage,800.0,litres
May-15,Fuel usage,1200.0,litres
Jan-93,Fuel usage,4000.0,litres
Feb-93,Fuel usage,1743.0,litres
Jan-94,Fuel usage,2634.0,litres
Feb-94,Fuel usage,4104.0,litres
Mar-94,Fuel usage,693.0,litres
Apr-94,Fuel usage,640.0,litres
Apr-95,Fuel usage,560.0,litres
Apr-96,Fuel usage,1117.0,litres
Apr-97,Fuel usage,650.0,litres
Apr-97,Fuel usage,530.0,litres
Apr-97,Fuel usage,595.0,litres
Apr-97,Fuel usage,315.0,litres
Mar-98,Fuel usage,500.0,litres
Mar-98,Fuel usage,630.0,litres
Mar-98,Fuel usage,3996.0,litres
Mar-98,Fuel usage,210.0,litres
Jan-99,Fuel usage,1900.0,litres
Jan-99,Fuel usage,1200.0,litres
Jan-99,Fuel usage,3688.0,litres
Jan-99,Fuel usage,138.0,litres
Feb-99,Fuel usage,1400.0,litres
Feb-99,Fuel usage,2200.0,litres
Feb-99,Fuel usage,3354.0,litres
Feb-99,Fuel usage,221.0,litres
Mar-03,Fuel usage,300.0,litres
Mar-03,Fuel usage,3660.0,litres
Mar-03,Fuel usage,5.0,litres
Apr-03,Fuel usage,400.0,litres
Apr-03,Fuel usage,2535.0,litres
Apr-03,Fuel usage,105.0,litres
May-03,Fuel usage,2100.0,litres
May-03,Fuel usage,400.0,litres
May-03,Fuel usage,1310.0,litres
May-03,Fuel usage,150.0,litres
Jun-03,Fuel usage,400.0,litres
Jun-03,Fuel usage,200.0,litres
Jun-03,Fuel usage,744.0,litres
Jun-03,Fuel usage,153.0,litres
Jul-03,Fuel usage,1200.0,litres
Jul-03,Fuel usage,2493.0,litres
Jul-03,Fuel usage,856.0,litres
Aug-03,Fuel usage,1900.0,litres
Aug-03,Fuel usage,1000.0,litres
Aug-03,Fuel usage,1540.0,litres
Sep-03,Fuel usage,1200.0,litres
Sep-03,Fuel usage,1835.0,litres
Sep-03,Fuel usage,3185.0,litres
Sep-03,Fuel usage,151.0,litres
Oct-03,Fuel usage,2100.0,litres
Oct-03,Fuel usage,1000.0,litres
Oct-03,Fuel usage,8168.0,litres
Oct-03,Fuel usage,103.0,litres
Nov-03,Fuel usage,1300.0,litres
Nov-03,Fuel usage,1000.0,litres
Nov-03,Fuel usage,17412.0,litres
Nov-03,Fuel usage,185.0,litres
Dec-03,Fuel usage,970.0,litres
Dec-03,Fuel usage,3600.0,litres
Dec-03,Fuel usage,11010.0,litres
Dec-03,Fuel usage,370.0,litres
Jan-04,Fuel usage,2520.0,litres
Jan-04,Fuel usage,8486.0,litres
Jan-04,Fuel usage,395.0,litres
Feb-04,Fuel usage,503.0,litres
Feb-04,Fuel usage,550.0,litres
Feb-04,Fuel usage,6563.0,litres
Feb-04,Fuel usage,195.0,litres
Mar-04,Fuel usage,5.0,litres
Mar-04,Fuel usage,100.0,litres
Mar-04,Fuel usage,2515.0,litres
Mar-04,Fuel usage,517.0,litres
Apr-04,Fuel usage,5.0,litres
Apr-04,Fuel usage,1743.0,litres
Apr-04,Fuel usage,296.0,litres
Dec-12,Fuel usage,4100.0,litres
Dec-12,Fuel usage,9280.0,litres
Dec-12,Fuel usage,32400.0,litres
Dec-12,Fuel usage,80.0,litres
Dec-12,Fuel usage,13800.0,litres
Jan-13,Fuel usage,2850.0,litres
Jan-13,Fuel usage,15360.0,litres
Jan-13,Fuel usage,5000.0,litres
Jan-13,Fuel usage,138.0,litres
Jan-13,Fuel usage,0.0,litres
Feb-13,Fuel usage,670.0,litres
Feb-13,Fuel usage,5000.0,litres
Feb-13,Fuel usage,173.0,litres
Feb-13,Fuel usage,0.0,litres
Sep-14,Fuel usage,2415.0,litres
Sep-14,Fuel usage,4400.0,litres
Sep-14,Fuel usage,5960.0,litres
Sep-14,Fuel usage,121.0,litres
Sep-14,Fuel usage,0.0,litres
Oct-14,Fuel usage,523.0,litres
Oct-14,Fuel usage,4460.0,litres
Oct-14,Fuel usage,13852.0,litres
Oct-14,Fuel usage,0.0,litres
Nov-14,Fuel usage,1040.0,litres
Nov-14,Fuel usage,7890.0,litres
Nov-14,Fuel usage,11200.0,litres
Nov-14,Fuel usage,368.0,litres
Nov-14,Fuel usage,0.0,litres
Dec-14,Fuel usage,784.0,litres
Dec-14,Fuel usage,7890.0,litres
Dec-14,Fuel usage,17211.0,litres
Dec-14,Fuel usage,113.0,litres
Dec-14,Fuel usage,9711.0,litres
Jan-15,Fuel usage,1241.0,litres
Jan-15,Fuel usage,6450.0,litres
Jan-15,Fuel usage,36435.0,litres
Jan-15,Fuel usage,250.0,litres
Jan-15,Fuel usage,15117.0,litres
Feb-15,Fuel usage,1553.0,litres
Feb-15,Fuel usage,2080.0,litres
Feb-15,Fuel usage,18624.0,litres
Feb-15,Fuel usage,180.0,litres
Feb-15,Fuel usage,12440.0,litres
Mar-15,Fuel usage,289.0,litres
Mar-15,Fuel usage,1980.0,litres
Mar-15,Fuel usage,19582.0,litres
Mar-15,Fuel usage,148.0,litres
Mar-15,Fuel usage,13250.0,litres
Apr-15,Fuel usage,1263.0,litres
Apr-15,Fuel usage,960.0,litres
Apr-15,Fuel usage,8028.0,litres
Apr-15,Fuel usage,454.0,litres
Apr-15,Fuel usage,0.0,litres
May-15,Fuel usage,405.0,litres
May-15,Fuel usage,530.0,litres
May-15,Fuel usage,3378.0,litres
May-15,Fuel usage,100.0,litres
May-15,Fuel usage,0.0,litres
